g_total_loss,g_gan_loss,g_l1_loss,g_perc_loss,g_color_loss,d_loss,d_acc,val_psnr,val_ssim
1875.848,1.3707877,0.2926549,184520.55,0.006827544,0.9973967,0.7852038,15.220362,0.2803552
1029.9618,2.003545,0.198609,100809.31,0.004357282,0.4705695,0.9504874,17.748018,0.42716146
833.33527,2.5734463,0.18287045,81247.03,0.004523521,0.36640218,0.95930207,18.76948,0.48840567
765.1473,3.3597207,0.1752408,74425.9,0.0045679975,0.12647465,0.99658525,19.58015,0.5503093
696.2772,4.0150414,0.1712381,67513.35,0.0046308804,0.06592097,0.9987966,19.582432,0.5378584
677.5322,2.5443323,0.16710639,65827.3,0.004292263,0.71186435,0.896004,19.803392,0.55237526
627.2018,4.3490605,0.16425529,60642.324,0.004033653,0.046749435,0.9997968,19.945322,0.5717161
607.7933,4.8303275,0.16297211,58666.176,0.0040138448,0.03292177,0.99936247,20.213333,0.6033138
562.5876,4.34097,0.15921287,54232.164,0.0036276772,0.3334699,0.95734924,20.32431,0.62063307
518.45026,4.588498,0.15697214,49816.094,0.0036357467,0.038009066,0.99945146,20.387913,0.62067294
474.3034,4.5275416,0.15019396,45475.34,0.0029715581,0.14133291,0.9797411,20.555208,0.64918345
418.83783,4.8739424,0.1472528,39923.582,0.0028759982,0.0277023,0.9998107,20.464499,0.6193912
380.63992,5.186787,0.14426363,36102.395,0.0028250867,0.02305513,0.999638,20.508867,0.6369086
347.61078,5.256017,0.14111325,32824.08,0.002652381,0.021713817,0.99985,20.67218,0.65717703
337.22784,4.4742203,0.13580468,31917.072,0.0024727106,0.3670365,0.9525066,20.638346,0.6651253
318.18695,5.4029427,0.13490707,29929.09,0.002399039,0.019139439,0.9998762,20.861189,0.671923
276.02878,4.80582,0.12891716,25832.924,0.0019726653,0.17388354,0.97224855,20.932531,0.6760081
257.03235,5.414831,0.12851135,23876.422,0.0020976625,0.022686185,0.9996695,20.814144,0.6801634
263.1268,5.8277483,0.12362353,24493.479,0.0018957409,0.031984255,0.9973666,21.28472,0.7143012
235.70833,6.152002,0.12274936,21727.941,0.0019943076,0.009240459,0.99998343,21.195404,0.70985204
227.5136,5.374298,0.12147235,20999.014,0.0019794565,0.35541245,0.94671595,21.3205,0.7165511
223.69992,5.1394587,0.11791452,20676.707,0.0018605265,0.073707566,0.99214655,21.396355,0.72919446
211.52061,5.156952,0.11331619,19503.033,0.0016416963,0.16545694,0.97235745,21.457092,0.73708624
214.30789,5.0911055,0.11051563,19816.371,0.0014979234,0.1420114,0.97426087,21.45606,0.735925
186.58734,5.4888926,0.11037171,17005.967,0.0016476756,0.02014227,0.99972266,21.677538,0.7534556
183.45293,5.3077097,0.107630245,16738.062,0.001555167,0.026354657,0.99957263,21.697506,0.75775623
171.65013,3.2535737,0.10773887,15762.112,0.0015716484,0.7369571,0.8703982,21.76209,0.76099163
175.52518,5.036724,0.103744805,16011.25,0.001455104,0.21783385,0.9668749,21.823978,0.7673063
168.76938,4.9616904,0.103323855,15347.389,0.0014269216,0.15851673,0.97427654,21.983223,0.7828611
196.19363,5.739458,0.10112289,18034.043,0.0014474044,0.01861749,0.99978983,21.785019,0.7466818
168.24959,4.9179606,0.09973415,15335.68,0.0014040587,0.22915915,0.9640392,22.043938,0.78897816
151.65695,5.3596563,0.09904091,13639.18,0.0014107185,0.035045356,0.9987763,22.009626,0.78945315
149.16887,5.944181,0.09801807,13342.149,0.0013787125,0.016170325,0.999932,22.073359,0.7925531
149.11386,6.171339,0.09984778,13295.624,0.0014942818,0.011940583,0.99994856,22.078135,0.7860476
169.26588,6.1772785,0.09938157,15314.893,0.0015260525,0.023184167,0.99892724,22.019882,0.79252434
151.35585,6.380019,0.09781878,13519.25,0.0014594588,0.011910069,0.99994767,22.073885,0.7931595
146.5403,6.5132546,0.10191349,12983.392,0.0017388341,0.010905873,0.9999399,22.17755,0.7949207
167.46428,3.0970309,0.098419234,15452.386,0.0014624407,0.9899049,0.7976189,22.311464,0.79882133
142.37537,2.7816582,0.0973076,12986.148,0.001456167,0.5946363,0.8767497,22.209436,0.8024016
154.89499,4.1557894,0.09264644,14147.333,0.0012554127,0.29925498,0.9553431,22.315697,0.8122154
140.3803,4.069449,0.09919773,12638.933,0.0016865603,0.5300348,0.9189277,22.178923,0.8094782
125.36229,4.0323143,0.094185226,11191.014,0.0013204888,0.2681999,0.9636902,22.305088,0.8169511
126.426765,5.6136966,0.09127552,11168.427,0.001240514,0.035429914,0.999058,22.274649,0.81765985
126.66126,5.9346538,0.08810376,11191.519,0.0010380229,0.04614369,0.9964292,22.39871,0.82443035
129.97348,6.5710125,0.094639905,11393.703,0.0014662539,0.014588119,0.99992853,22.505762,0.8246212
121.55794,5.051695,0.09006035,10749.898,0.0012235389,0.44573212,0.922448,22.304049,0.82352513
139.60141,4.788286,0.08865487,12594.649,0.0011605474,0.17986505,0.9787466,22.381441,0.8146624
118.26805,5.33948,0.088391945,10408.823,0.0011367855,0.22947216,0.9746698,22.639608,0.8306734
114.00288,6.351756,0.08634443,9901.558,0.0010777003,0.017890994,0.999727,22.380836,0.8288368
156.69957,6.420197,0.09324477,14095.34,0.0015184303,0.0124042,0.99993545,22.67967,0.8272658
